Categoria,SerialNumber,Archivo,Estatus_Tester,Consumo_mA,Offset_High_V,V_20A_High_V,Tiempo_ms_High,Offset_Low_V,V_20A_Low_V,Tiempo_ms_Low,Delta_V_High,Delta_V_Low,S_High_mVA,S_Low_mVA,Ratio_HL,Ratio_Dev_Pct,Proy_220A_High_mV,Proy_220A_Low_mV,Status,Razon_Falla,Ford_220A
CORRECTION_FACTOR,26169000594,7370-2573-8W 26169000594 0101 OK.txt,OK,21.23,2.504,2.618,59.0,2.505,2.905,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6904.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000595,7370-2573-8W 26169000595 0101 OK.txt,OK,20.622,2.504,2.618,19.0,2.504,2.903,19.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6893.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000596,7370-2573-8W 26169000596 0101 OK.txt,OK,20.865,2.505,2.619,19.0,2.504,2.903,20.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6893.0,PASS,,PASS
CORRECTION_FACTOR,26169000597,7370-2573-8W 26169000597 0101 OK.txt,OK,20.997,2.505,2.619,20.0,2.505,2.905,20.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6904.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000598,7370-2573-8W 26169000598 0101 OK.txt,OK,21.145,2.503,2.618,19.0,2.504,2.903,19.0,0.11499999999999977,0.399,5.7499999999999885,19.95,0.28822055137844554,-0.09686260712458736,3767.9999999999973,6893.0,PASS,,PASS
CORRECTION_FACTOR,26169000599,7370-2573-8W 26169000599 0101 OK.txt,OK,20.48,2.504,2.617,19.0,2.506,2.904,19.0,0.11299999999999999,0.39800000000000013,5.6499999999999995,19.900000000000006,0.28391959798994965,-1.5876610086829577,3747.0,6884.000000000001,FAIL,S_High=5.650 < 5.7,PASS
CORRECTION_FACTOR,26169000600,7370-2573-8W 26169000600 0101 OK.txt,OK,20.958,2.504,2.618,20.0,2.504,2.904,20.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000601,7370-2573-8W 26169000601 0101 OK.txt,OK,21.148,2.503,2.617,56.0,2.504,2.904,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3756.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000602,7370-2573-8W 26169000602 0101 OK.txt,OK,20.687,2.504,2.619,20.0,2.504,2.903,19.0,0.11500000000000021,0.399,5.750000000000011,19.95,0.28822055137844665,-0.09686260712420253,3769.0000000000023,6893.0,PASS,,PASS
CORRECTION_FACTOR,26169000603,7370-2573-8W 26169000603 0101 OK.txt,OK,20.574,2.503,2.618,20.0,2.504,2.904,63.0,0.11499999999999977,0.3999999999999999,5.7499999999999885,19.999999999999993,0.28749999999999953,-0.34662045060674007,3767.9999999999973,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000604,7370-2573-8W 26169000604 0101 OK.txt,OK,21.179,2.504,2.618,19.0,2.505,2.904,20.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000605,7370-2573-8W 26169000605 0101 OK.txt,OK,20.814,2.504,2.618,19.0,2.506,2.905,60.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6895.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000606,7370-2573-8W 26169000606 0101 OK.txt,OK,20.605,2.504,2.617,20.0,2.504,2.903,19.0,0.11299999999999999,0.399,5.6499999999999995,19.95,0.2832080200501253,-1.8343084748265792,3747.0,6893.0,FAIL,S_High=5.650 < 5.7,PASS
CORRECTION_FACTOR,26169000607,7370-2573-8W 26169000607 0101 OK.txt,OK,20.591,2.504,2.618,20.0,2.505,2.905,60.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6904.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000608,7370-2573-8W 26169000608 0101 OK.txt,OK,21.081,2.505,2.619,19.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
